interaction_id,customer_id,fecha_interaccion,hora_interaccion,canal_contacto,motivo,transcripcion,sentimiento,puntaje_positivo,puntaje_negativo,puntaje_neutro,estrellas,resuelto,tiempo_espera_seg,duracion_minutos,agente
INT-00031,XFC-01421,2025-10-01,19:27,Llamada,Retraso en delivery,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.9003,0.032,0.0677,4,True,28,4.8,Carlos R.
INT-00032,XFC-01421,2025-10-16,13:37,Llamada,Solicitud de reabastecimiento,Quisiera programar una entrega recurrente de mi medicamento.,NEUTRO,0.2321,0.2869,0.481,3,True,119,2.7,Carmen S.
INT-00033,XFC-02882,2024-11-17,08:18,Llamada,Medicamento agotado,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.6545,0.0322,0.3133,5,True,27,10.3,Pedro D.
INT-00034,XFC-02882,2025-07-18,09:05,Llamada,Retraso en delivery,Pedí el genérico y me dieron el de marca sin consultar.,NEGATIVO,0.0439,0.9167,0.0394,1,False,116,1.0,Rosa G.
INT-00035,XFC-04680,2025-07-24,17:31,Llamada,Retraso en delivery,Llevo tres días esperando mi medicamento y nadie me da respuesta.,NEGATIVO,0.0621,0.635,0.3029,2,True,452,7.9,Carmen S.
INT-00036,XFC-03212,2023-07-12,18:50,Llamada,Consulta sobre programa de lealtad,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.7442,0.0659,0.1899,5,True,44,8.0,Carmen S.
INT-00037,XFC-03212,2023-11-10,17:55,Llamada,Problema con seguro/ARS,Quiero saber si ya llegó mi pedido de insulina.,NEUTRO,0.2378,0.2754,0.4868,3,True,55,8.6,Miguel A.
INT-00038,XFC-03212,2023-03-08,13:28,Llamada,Queja de atención en sucursal,Quisiera programar una entrega recurrente de mi medicamento.,NEUTRO,0.2658,0.2491,0.4851,3,False,83,1.6,María P.
INT-00039,XFC-03733,2024-09-01,15:48,Email,Solicitud de reabastecimiento,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.6065,0.0746,0.3189,4,True,144,9.2,Carlos R.
INT-00040,XFC-00455,2025-02-02,12:51,Llamada,Cambio de medicamento,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.601,0.0276,0.3714,5,True,13,8.0,Luis F.
INT-00041,XFC-05163,2023-08-11,12:15,Llamada,Devolución de producto,Necesito información sobre el programa de lealtad.,NEUTRO,0.2436,0.1626,0.5938,3,True,128,7.2,María P.
INT-00042,XFC-05163,2024-10-13,12:48,Llamada,Retraso en delivery,Tengo una condición crónica y no pueden dejarme sin medicamento así.,NEGATIVO,0.0882,0.5508,0.361,1,True,34,7.3,Pedro D.
INT-00043,XFC-07914,2025-11-08,07:28,Llamada,Solicitud de reabastecimiento,Quiero felicitar al personal de la sucursal del Distrito.,POSITIVO,0.5543,0.082,0.3637,4,True,208,13.2,Yolanda T.
INT-00044,XFC-07914,2025-03-31,14:28,WhatsApp,Cambio de medicamento,Quiero saber si ya llegó mi pedido de insulina.,NEUTRO,0.2224,0.2164,0.5612,3,True,34,10.7,José L.
INT-00045,XFC-07914,2025-01-18,13:36,Chat App,Problema con app/web,Quiero saber si ya llegó mi pedido de insulina.,NEUTRO,0.0909,0.2895,0.6196,3,True,71,7.1,Ana M.
INT-00046,XFC-07223,2024-11-26,20:36,Llamada,Problema con seguro/ARS,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.6111,0.0662,0.3227,5,True,57,5.8,Pedro D.
INT-00047,XFC-02148,2024-12-26,15:52,Chat App,Reclamo de precio,Esto es una falta de respeto al paciente crónico.,NEGATIVO,0.1487,0.6379,0.2134,1,True,31,10.9,Luis F.
INT-00048,XFC-07815,2025-08-06,19:58,Chat App,Devolución de producto,Quisiera programar una entrega recurrente de mi medicamento.,NEUTRO,0.2286,0.252,0.5194,3,True,73,1.2,Rosa G.
INT-00049,XFC-00122,2024-11-02,08:40,Email,Reclamo de precio,Pedí el genérico y me dieron el de marca sin consultar.,NEGATIVO,0.0458,0.7589,0.1953,1,False,152,16.8,María P.
INT-00050,XFC-02089,2025-06-20,12:53,WhatsApp,Consulta sobre programa de lealtad,Necesito información sobre el programa de lealtad.,NEUTRO,0.2545,0.2877,0.4578,3,True,118,8.3,Yolanda T.
INT-00051,XFC-04103,2024-08-12,15:29,Llamada,Solicitud de reabastecimiento,Quisiera programar una entrega recurrente de mi medicamento.,NEUTRO,0.1711,0.2386,0.5903,3,True,14,10.9,Carmen S.
INT-00052,XFC-04676,2025-09-20,09:48,Llamada,Retraso en delivery,Tengo una condición crónica y no pueden dejarme sin medicamento así.,NEGATIVO,0.0413,0.6596,0.2991,1,False,104,8.1,María P.
INT-00053,XFC-04676,2025-01-18,10:14,Email,Retraso en delivery,No entiendo por qué subieron el precio sin aviso.,NEGATIVO,0.0894,0.9369,-0.0263,2,True,16,5.3,Ana M.
INT-00054,XFC-04915,2025-10-08,08:41,Chat App,Reclamo de precio,Pedí el genérico y me dieron el de marca sin consultar.,NEGATIVO,0.1471,0.704,0.1489,1,True,163,7.0,Yolanda T.
INT-00055,XFC-04915,2024-07-31,17:51,Email,Medicamento agotado,Me gustaría saber cuándo llega el próximo lote.,NEUTRO,0.4643,0.1014,0.4343,3,True,40,13.2,Rosa G.
INT-00056,XFC-04915,2025-02-14,17:47,Llamada,Problema con app/web,Quisiera saber el horario de la sucursal de Santiago.,NEUTRO,0.271,0.2479,0.4811,3,False,77,4.3,Carlos R.
INT-00057,XFC-04915,2025-05-31,16:04,Llamada,Cambio de medicamento,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.8867,0.0906,0.0227,5,True,52,7.4,Yolanda T.
INT-00058,XFC-04085,2025-05-23,08:26,WhatsApp,Consulta sobre producto,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.8216,0.098,0.0804,5,True,70,11.2,Carmen S.
INT-00059,XFC-04085,2025-05-07,09:23,Llamada,Retraso en delivery,No entiendo por qué subieron el precio sin aviso.,NEGATIVO,0.0258,0.8661,0.1081,1,False,166,7.2,Rosa G.
INT-00060,XFC-06037,2025-07-27,19:07,Llamada,Retraso en delivery,Quiero confirmar si aceptan mi seguro ARS Humano.,NEUTRO,0.3599,0.1441,0.496,3,True,63,8.0,María P.
INT-00061,XFC-06037,2024-04-05,08:33,WhatsApp,Queja de atención en sucursal,Necesito una cotización para un tratamiento mensual.,NEUTRO,0.2869,0.2793,0.4338,3,True,10,2.6,Carlos R.
INT-00062,XFC-06037,2025-02-12,09:03,Llamada,Seguimiento de pedido,Me gustaría saber cuándo llega el próximo lote.,NEUTRO,0.4314,0.1463,0.4223,3,True,426,7.0,Rosa G.
INT-00063,XFC-06037,2023-07-22,07:58,Llamada,Seguimiento de pedido,Me gustaría saber cuándo llega el próximo lote.,NEUTRO,0.4748,0.1134,0.4118,3,True,65,14.8,Ana M.
INT-00064,XFC-03306,2024-11-16,09:48,Llamada,Retraso en delivery,Pedí el genérico y me dieron el de marca sin consultar.,NEGATIVO,0.1305,0.6922,0.1773,1,False,34,7.6,José L.
INT-00065,XFC-03306,2025-09-30,18:16,WhatsApp,Reclamo de precio,Quiero confirmar si aceptan mi seguro ARS Humano.,NEUTRO,0.3369,0.1003,0.5628,3,False,10,3.8,Carlos R.
INT-00066,XFC-00300,2023-06-10,15:34,WhatsApp,Medicamento agotado,Quiero saber si ya llegó mi pedido de insulina.,NEUTRO,0.2776,0.1666,0.5558,3,True,192,9.2,Yolanda T.
INT-00067,XFC-00300,2023-08-28,13:42,WhatsApp,Medicamento agotado,Quisiera saber el horario de la sucursal de Santiago.,NEUTRO,0.3408,0.1482,0.511,3,False,38,14.2,Rosa G.
INT-00068,XFC-00300,2024-11-21,17:37,WhatsApp,Consulta sobre programa de lealtad,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.6418,0.029,0.3292,5,True,87,3.1,Ana M.
INT-00069,XFC-00300,2025-03-22,17:12,Llamada,Queja de atención en sucursal,Me gustaría saber cuándo llega el próximo lote.,NEUTRO,0.4043,0.1304,0.4653,3,True,393,20.6,Yolanda T.
INT-00070,XFC-01690,2025-05-04,12:23,Email,Queja de atención en sucursal,Quisiera programar una entrega recurrente de mi medicamento.,NEUTRO,0.327,0.2389,0.4341,3,True,18,1.9,Pedro D.
INT-00071,XFC-01690,2025-03-01,10:40,Chat App,Devolución de producto,Necesito información sobre el programa de lealtad.,NEUTRO,0.3498,0.1691,0.4811,3,True,36,1.6,Yolanda T.
INT-00072,XFC-01690,2024-06-04,16:00,WhatsApp,Problema con seguro/ARS,"El delivery nunca llega a tiempo, esto es inaceptable.",NEGATIVO,0.1101,0.71,0.1799,1,True,22,7.4,Pedro D.
INT-00073,XFC-01690,2025-03-15,07:39,WhatsApp,Solicitud de reabastecimiento,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.6436,0.0957,0.2607,5,True,92,6.7,María P.
INT-00074,XFC-04623,2025-11-09,11:01,WhatsApp,Reclamo de precio,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.6574,0.0858,0.2568,4,True,77,3.7,José L.
INT-00075,XFC-07474,2024-11-14,19:30,Llamada,Consulta sobre producto,Quisiera programar una entrega recurrente de mi medicamento.,NEUTRO,0.2157,0.1742,0.6101,3,True,111,14.3,Carlos R.
INT-00076,XFC-07474,2025-11-07,18:54,WhatsApp,Reclamo de precio,Quiero saber si ya llegó mi pedido de insulina.,NEUTRO,0.2007,0.2925,0.5068,3,True,194,2.4,José L.
INT-00077,XFC-05274,2024-11-04,07:03,WhatsApp,Queja de atención en sucursal,"Muchas gracias, la atención fue excelente como siempre.",POSITIVO,0.6354,0.0451,0.3195,5,True,103,12.3,María P.
INT-00078,XFC-02588,2023-06-25,10:24,Llamada,Devolución de producto,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.8114,0.0784,0.1102,5,True,38,4.8,Carlos R.
INT-00079,XFC-02588,2023-10-28,17:48,Llamada,Queja de atención en sucursal,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.6544,0.0472,0.2984,5,True,42,11.1,Rosa G.
INT-00080,XFC-02588,2025-05-09,13:55,Llamada,Error en facturación,Me siento frustrado porque dependo de este medicamento diariamente.,NEGATIVO,0.0974,0.7234,0.1792,1,False,54,10.4,Yolanda T.
INT-00081,XFC-02588,2025-03-27,09:22,WhatsApp,Devolución de producto,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.8424,0.055,0.1026,5,True,37,7.4,Ana M.
INT-00082,XFC-00244,2025-04-05,16:50,Llamada,Retraso en delivery,Me cobraron de más y no me quieren devolver el dinero.,NEGATIVO,0.0546,0.5878,0.3576,1,True,10,5.8,José L.
INT-00083,XFC-00244,2025-02-11,18:57,Llamada,Problema con app/web,Necesito una cotización para un tratamiento mensual.,NEUTRO,0.2159,0.2468,0.5373,3,True,119,3.4,Rosa G.
INT-00084,XFC-00244,2025-03-04,14:26,Llamada,Retraso en delivery,Quisiera saber el horario de la sucursal de Santiago.,NEUTRO,0.4045,0.1638,0.4317,3,True,247,4.8,Carmen S.
INT-00085,XFC-00244,2025-12-08,12:59,Llamada,Medicamento agotado,Llevo llamando toda la mañana y nadie contesta.,NEGATIVO,0.1091,0.6882,0.2027,1,False,201,2.3,Carlos R.
INT-00086,XFC-00244,2025-07-03,15:06,Llamada,Queja de atención en sucursal,Es la segunda vez que vengo y no tienen mi receta lista.,NEGATIVO,0.1151,0.8218,0.0631,1,False,30,9.5,José L.
INT-00087,XFC-06077,2025-07-13,19:53,Llamada,Retraso en delivery,Quisiera saber el horario de la sucursal de Santiago.,NEUTRO,0.3214,0.2668,0.4118,3,True,45,7.5,Rosa G.
INT-00088,XFC-07200,2024-11-11,11:39,Llamada,Problema con app/web,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.8814,0.0255,0.0931,5,True,10,12.4,Miguel A.
INT-00089,XFC-07200,2025-02-18,20:16,Llamada,Retraso en delivery,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.6517,0.0617,0.2866,4,True,265,8.1,Rosa G.
INT-00090,XFC-07200,2025-08-13,17:30,WhatsApp,Problema con seguro/ARS,Mi seguro no me lo quieren pasar y en otras farmacias sí.,NEGATIVO,0.0952,0.8467,0.0581,2,True,131,5.4,Carmen S.
INT-00091,XFC-07200,2025-06-23,08:37,WhatsApp,Cambio de medicamento,El descuento de paciente crónico me ayuda mucho.,POSITIVO,0.8421,0.0554,0.1025,4,True,124,4.6,Miguel A.
INT-00092,XFC-06383,2025-01-22,20:55,Chat App,Cambio de medicamento,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.8411,0.0588,0.1001,5,True,151,3.0,María P.
INT-00093,XFC-06383,2025-03-18,11:30,Llamada,Retraso en delivery,"Muchas gracias, la atención fue excelente como siempre.",POSITIVO,0.8108,0.0475,0.1417,4,True,204,1.0,Carmen S.
INT-00094,XFC-06383,2025-05-09,18:56,Llamada,Error en facturación,Es la segunda vez que vengo y no tienen mi receta lista.,NEGATIVO,0.1499,0.8769,-0.0268,1,False,17,9.5,Ana M.
INT-00095,XFC-03004,2025-03-25,09:11,Llamada,Consulta sobre producto,"La farmacéutica me explicó todo muy bien, muy profesional.",POSITIVO,0.845,0.0233,0.1317,4,True,317,9.5,Yolanda T.
INT-00096,XFC-03004,2025-05-26,15:24,Email,Problema con seguro/ARS,"La atención en la sucursal fue pésima, nadie sabía nada.",NEGATIVO,0.0881,0.855,0.0569,1,True,10,8.3,Carlos R.
INT-00097,XFC-03606,2025-10-10,12:06,WhatsApp,Reclamo de precio,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.6053,0.0385,0.3562,5,True,216,12.1,Luis F.
INT-00098,XFC-00627,2025-06-30,07:08,WhatsApp,Solicitud de reabastecimiento,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.8512,0.0321,0.1167,5,True,78,7.6,José L.
INT-00099,XFC-00627,2024-05-14,11:43,Llamada,Queja de atención en sucursal,Me gustaría saber cuándo llega el próximo lote.,NEUTRO,0.2401,0.2728,0.4871,3,True,36,5.1,José L.
INT-00100,XFC-00627,2023-09-28,07:15,Llamada,Cambio de medicamento,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.6416,0.0487,0.3097,4,True,50,12.8,José L.
INT-00101,XFC-00525,2025-11-23,10:11,Llamada,Problema con seguro/ARS,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.909,0.0384,0.0526,4,True,20,8.6,María P.
INT-00102,XFC-00525,2024-08-01,17:38,Llamada,Retraso en delivery,"El delivery nunca llega a tiempo, esto es inaceptable.",NEGATIVO,0.0794,0.9123,0.0083,1,False,27,6.5,Pedro D.
INT-00103,XFC-00525,2025-01-09,07:21,WhatsApp,Cambio de medicamento,"Muchas gracias, la atención fue excelente como siempre.",POSITIVO,0.6142,0.0419,0.3439,5,True,74,16.0,Pedro D.
INT-00104,XFC-00525,2023-03-08,16:05,Chat App,Retraso en delivery,"El delivery nunca llega a tiempo, esto es inaceptable.",NEGATIVO,0.1358,0.6034,0.2608,1,True,118,7.7,María P.
INT-00105,XFC-04645,2025-01-02,16:18,Llamada,Solicitud de reabastecimiento,Quiero saber si ya llegó mi pedido de insulina.,NEUTRO,0.3853,0.183,0.4317,3,False,260,13.1,María P.
INT-00106,XFC-04645,2025-07-17,10:21,Llamada,Medicamento agotado,"Siempre encuentro todo lo que necesito, gracias.",POSITIVO,0.663,0.0577,0.2793,5,True,77,7.2,Ana M.
INT-00107,XFC-01237,2025-05-29,08:32,Chat App,Retraso en delivery,Me gustaría saber cuándo llega el próximo lote.,NEUTRO,0.1811,0.2201,0.5988,3,False,199,15.1,Pedro D.
INT-00108,XFC-01237,2025-07-23,18:00,Llamada,Retraso en delivery,No entiendo por qué subieron el precio sin aviso.,NEGATIVO,0.1233,0.7293,0.1474,1,False,385,6.9,Luis F.
INT-00109,XFC-01237,2025-03-30,14:41,WhatsApp,Queja de atención en sucursal,Me siento frustrado porque dependo de este medicamento diariamente.,NEGATIVO,0.0355,0.7985,0.166,1,False,287,6.1,Yolanda T.
INT-00110,XFC-03511,2025-12-15,19:09,Chat App,Reclamo de precio,Necesito información sobre el programa de lealtad.,NEUTRO,0.203,0.2167,0.5803,3,True,271,2.2,Rosa G.
INT-00111,XFC-06998,2025-11-14,17:34,WhatsApp,Queja de atención en sucursal,Pedí el genérico y me dieron el de marca sin consultar.,NEGATIVO,0.1471,0.5764,0.2765,2,False,27,1.0,Luis F.
INT-00112,XFC-06998,2024-03-18,13:59,WhatsApp,Consulta sobre programa de lealtad,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.5502,0.0201,0.4297,5,True,79,1.8,Pedro D.
INT-00113,XFC-02233,2025-12-29,11:41,WhatsApp,Medicamento agotado,Tengo una condición crónica y no pueden dejarme sin medicamento así.,NEGATIVO,0.0556,0.8777,0.0667,1,False,342,17.4,María P.
INT-00114,XFC-02233,2024-04-01,08:02,Llamada,Medicamento agotado,Necesito información sobre el programa de lealtad.,NEUTRO,0.3578,0.193,0.4492,3,True,139,9.2,Ana M.
INT-00115,XFC-07244,2023-06-16,18:15,WhatsApp,Seguimiento de pedido,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.8057,0.0855,0.1088,5,True,52,12.7,María P.
INT-00116,XFC-07244,2024-09-23,15:14,WhatsApp,Consulta sobre programa de lealtad,"La farmacéutica me explicó todo muy bien, muy profesional.",POSITIVO,0.5635,0.0803,0.3562,4,True,62,11.2,Miguel A.
INT-00117,XFC-02212,2024-07-20,17:05,Llamada,Medicamento agotado,Estoy llamando para verificar si tienen Losartán 50mg.,NEUTRO,0.3663,0.2317,0.402,3,False,93,6.2,María P.
INT-00118,XFC-02212,2025-11-22,11:03,Llamada,Problema con seguro/ARS,Llevo llamando toda la mañana y nadie contesta.,NEGATIVO,0.0532,0.7023,0.2445,2,True,353,12.6,Pedro D.
INT-00119,XFC-02212,2025-06-15,14:48,Llamada,Devolución de producto,Quiero confirmar si aceptan mi seguro ARS Humano.,NEUTRO,0.3523,0.1256,0.5221,3,True,111,3.7,María P.
INT-00120,XFC-02200,2024-11-27,12:44,Llamada,Cambio de medicamento,Necesito una cotización para un tratamiento mensual.,NEUTRO,0.3313,0.1886,0.4801,3,True,377,7.5,Luis F.
INT-00121,XFC-06736,2025-05-09,13:05,Chat App,Devolución de producto,"Estoy muy contento con el programa de puntos, me ahorro bastante.",POSITIVO,0.7857,0.0844,0.1299,4,True,552,9.6,José L.
INT-00122,XFC-06736,2024-11-11,08:14,WhatsApp,Cambio de medicamento,Quiero confirmar si aceptan mi seguro ARS Humano.,NEUTRO,0.1836,0.2065,0.6099,3,True,44,13.7,Carlos R.
INT-00123,XFC-06736,2024-10-27,13:40,WhatsApp,Problema con seguro/ARS,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.6267,0.0505,0.3228,4,True,209,12.3,Luis F.
INT-00124,XFC-07169,2024-01-09,16:12,Llamada,Medicamento agotado,Llevo llamando toda la mañana y nadie contesta.,NEGATIVO,0.0958,0.718,0.1862,1,False,30,5.2,Carmen S.
INT-00125,XFC-07169,2024-09-26,13:57,Llamada,Error en facturación,Quiero felicitar al personal de la sucursal del Distrito.,POSITIVO,0.552,0.0598,0.3882,4,True,10,8.8,María P.
INT-00126,XFC-07169,2024-01-04,13:52,Chat App,Retraso en delivery,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.6359,0.0857,0.2784,5,True,42,6.4,Ana M.
INT-00127,XFC-01180,2023-07-24,15:28,WhatsApp,Error en facturación,"La farmacéutica me explicó todo muy bien, muy profesional.",POSITIVO,0.6898,0.0988,0.2114,5,True,22,2.9,Pedro D.
INT-00128,XFC-01180,2025-12-21,19:40,WhatsApp,Problema con seguro/ARS,"Me encanta el servicio de delivery, muy puntual.",POSITIVO,0.7451,0.0743,0.1806,4,True,24,10.1,José L.
INT-00129,XFC-01180,2025-01-06,18:25,Chat App,Solicitud de reabastecimiento,Quisiera programar una entrega recurrente de mi medicamento.,NEUTRO,0.2112,0.2805,0.5083,3,True,29,11.4,Ana M.
INT-00130,XFC-00659,2025-12-22,20:46,Chat App,Problema con seguro/ARS,Me siento frustrado porque dependo de este medicamento diariamente.,NEGATIVO,0.0462,0.9374,0.0164,2,False,32,11.8,Miguel A.
INT-00131,XFC-00659,2024-05-22,13:42,Llamada,Medicamento agotado,Estoy llamando para verificar si tienen Losartán 50mg.,NEUTRO,0.3195,0.244,0.4365,3,True,361,6.9,Luis F.
INT-00132,XFC-00659,2024-01-23,10:56,Llamada,Problema con seguro/ARS,Me siento frustrado porque dependo de este medicamento diariamente.,NEGATIVO,0.0857,0.5982,0.3161,1,True,63,13.8,Ana M.
INT-00133,XFC-02712,2025-09-11,19:54,Chat App,Error en facturación,No entiendo por qué subieron el precio sin aviso.,NEGATIVO,0.1179,0.7101,0.172,1,False,18,10.4,José L.
INT-00134,XFC-05841,2025-07-13,18:45,WhatsApp,Retraso en delivery,Me cobraron de más y no me quieren devolver el dinero.,NEGATIVO,0.0429,0.8356,0.1215,1,True,68,11.3,María P.
INT-00135,XFC-04026,2025-10-24,13:02,Llamada,Queja de atención en sucursal,"La app funciona muy bien, pedí y me llegó al día siguiente.",POSITIVO,0.7731,0.0781,0.1488,4,True,141,1.9,Carlos R.
